MDTU,min_min,min_max,max_min,max_max5
431,-0.13351,-0.00681231,0.00294921,0.112014
432,-0.164217,0.0132259,-0.00734784,0.124495
433,-0.164217,0.0132259,-0.00734784,0.124495
434,-0.153401,0.00990903,-0.0047786,0.119876
435,-0.151204,0.015371,-0.013721,0.137531
436,-0.15732,-0.0078709,-0.0146469,0.134859
437,-0.1764,0.00787441,-0.00946132,0.129571
438,-0.1764,0.00787441,-0.00946132,0.129571
439,-0.159099,0.0138289,-0.0235523,0.131343
440,-0.158743,0.0111178,-0.016121,0.136213
441,-0.137063,-0.000664788,0.00674319,0.122115
442,-0.159773,0.0287879,-0.0130575,0.143893
443,-0.158586,0.0219969,-0.00688525,0.129755
444,-0.153009,0.0161819,-0.0177466,0.137199
445,-0.155933,0.0202751,-0.0187331,0.129436
446,-0.160786,7.77491e-05,-0.010881,0.128299
447,-0.155938,0.00964972,-0.0125918,0.127997
448,-0.154276,0.0130082,-0.00424745,0.143575
449,-0.14209,0.000899451,-0.00974508,0.13174
450,-0.139554,0.0039533,-0.000906843,0.122298
451,-0.137412,-0.00840032,-0.0124693,0.124135
452,-0.130353,-0.000870634,-0.0022777,0.113933
453,-0.143547,0.00316447,-0.00296191,0.122503
454,-0.14648,0.00429102,-0.00683532,0.120835
455,-0.14648,0.00429102,-0.00683532,0.120835
456,-0.154219,0.00941198,0.00062065,0.118198
457,-0.157896,0.014891,-0.0123426,0.132356
458,-0.160548,0.011187,-0.0119441,0.125921
459,-0.160548,0.011187,-0.0119441,0.125921
460,-0.140623,0.00620876,-0.00717398,0.121892
461,-0.147322,0.0135609,-0.0126928,0.129618
462,-0.175548,0.0182938,-0.0236353,0.136057
463,-0.165452,-0.002955,-0.0106802,0.121227
464,-0.155192,0.0110113,-0.0144129,0.124662
465,-0.155192,0.0110113,-0.0144129,0.124662
466,-0.167565,0.00355091,-0.0159812,0.117593
467,-0.16394,0.00327475,-0.0238391,0.126095
468,-0.15577,-0.00222876,-0.0152728,0.124042
469,-0.15577,-0.00222876,-0.0152728,0.124042
470,-0.15577,-0.00222876,-0.0152728,0.124042
471,-0.15577,-0.00222876,-0.0152728,0.124042
472,-0.166583,-0.00607521,-0.0293296,0.12575
473,-0.156701,0.00250916,-0.0183093,0.124698
474,-0.167591,-0.00781024,-0.014773,0.115463
475,-0.154415,0.00105459,-0.0112436,0.11998
476,-0.154415,0.00105459,-0.0112436,0.11998
477,-0.138958,-0.0084918,0.00305947,0.12271
