MDTU,0,2,4,6,8,10
2840,0.0266531,0.0267674,0.0281204,0.0281938,0.0287765,0.0287934
2850,0.0261154,0.0261404,0.0276054,0.0276997,0.0278632,0.0282481
2860,0.0248123,0.0248578,0.026087,0.0263247,0.0267004,0.0267176
2870,0.0262284,0.0264661,0.0272432,0.0273998,0.0281738,0.0283141
2880,0.025611,0.0257366,0.0271169,0.0273595,0.0277172,0.0280044
2890,0.0229717,0.0232761,0.0261359,0.0263273,0.0265482,0.0267274
2900,0.0259782,0.0261608,0.0280724,0.0282356,0.0290557,0.0292945
2910,0.0246506,0.02483,0.0255186,0.0256388,0.0263693,0.0263884
2920,0.0247349,0.0251539,0.0257217,0.0258572,0.0271577,0.0275063
2930,0.0247895,0.024941,0.0264162,0.0267757,0.0269917,0.0271356
2940,0.0270463,0.0271109,0.0276095,0.0279164,0.029265,0.0295682
2950,0.0237368,0.0240195,0.0252065,0.0255098,0.0261086,0.026212
2960,0.0245113,0.0246793,0.0261579,0.0263459,0.0274954,0.0277287
2970,0.0247056,0.0247656,0.0256507,0.0257638,0.0263112,0.0267302
2980,0.0249372,0.0252467,0.0259979,0.0261056,0.0262446,0.0262731
2990,0.025731,0.0258478,0.026791,0.0270088,0.0271626,0.0272856
3000,0.0254335,0.025589,0.0260468,0.0263614,0.0265468,0.0265765
3010,0.0240187,0.0240934,0.0261309,0.0261922,0.0265072,0.0267681
3020,0.0270161,0.0270383,0.0278615,0.0278965,0.0280074,0.0283315
3030,0.0251451,0.0252659,0.0260809,0.0265279,0.0267746,0.0268489
3040,0.0256102,0.0256362,0.0269727,0.0270701,0.0279168,0.02796
3050,0.024322,0.0244473,0.0257654,0.0259083,0.026118,0.0262449
3060,0.0272118,0.0273727,0.0281131,0.0281752,0.0288421,0.0289332
3070,0.0250129,0.0250264,0.0261086,0.0263476,0.0263714,0.0264455
3080,0.0248422,0.0249566,0.0257911,0.0258226,0.0266759,0.0267115
3090,0.0261667,0.0263022,0.0273798,0.0275401,0.0285526,0.0291514
3100,0.0238812,0.0240133,0.024547,0.0246477,0.0253439,0.025684
3110,0.0232489,0.0234627,0.0242967,0.0243331,0.0251256,0.0255146
3120,0.0235934,0.0237326,0.0252679,0.0253984,0.0256553,0.025781
3130,0.0239112,0.0243222,0.0247524,0.024853,0.0251507,0.0253875
3140,0.0231314,0.0231908,0.0243886,0.0244033,0.0261511,0.0261952
3150,0.023899,0.0240028,0.0260374,0.0260723,0.0280268,0.028126
3160,0.0231187,0.0233462,0.0246443,0.024744,0.025087,0.0252587
3170,0.0255629,0.0256226,0.027143,0.027178,0.0276763,0.02789
3180,0.0239134,0.0241791,0.0247361,0.0251245,0.026606,0.0267084
3190,0.0239388,0.0241783,0.0263486,0.0264995,0.0274701,0.0277362
3200,0.0246254,0.0246314,0.0260705,0.0262216,0.0262352,0.0264126
3210,0.0265601,0.0266012,0.0274261,0.0276348,0.0281539,0.0283994
3220,0.0243901,0.0246261,0.0254558,0.0256693,0.0265545,0.0268027
3230,0.0258649,0.0258702,0.0277607,0.0278359,0.0284622,0.0286052
3240,0.0245155,0.0245593,0.0259861,0.0261142,0.0265915,0.0268906
3250,0.0257656,0.0257902,0.0273819,0.0275811,0.0277058,0.0279749
3260,0.0244093,0.0247022,0.0250007,0.0252787,0.0263863,0.0265251
3270,0.0235802,0.0236228,0.025287,0.0254173,0.0255391,0.0258115
3280,0.0234322,0.0237028,0.0248256,0.0249571,0.0253225,0.0253945
3290,0.0234941,0.0237823,0.025923,0.0260798,0.026602,0.0266689
3300,0.0250511,0.0251064,0.0267844,0.0271004,0.0274192,0.027433
3310,0.0236389,0.0237718,0.0257221,0.0257462,0.0259627,0.0259725
3320,0.0241047,0.0244026,0.0253614,0.0254215,0.025812,0.0260429
3330,0.0229823,0.0231092,0.0245424,0.0248916,0.0260691,0.0262929
3340,0.0243779,0.0244365,0.0266974,0.0268773,0.0272563,0.0272639
3350,0.0260193,0.026209,0.0265615,0.0268251,0.0269633,0.0271288
3360,0.0249396,0.0249798,0.0261321,0.0262331,0.0265964,0.0271552
3370,0.0245388,0.0246055,0.0259142,0.025971,0.0266996,0.0269913
3380,0.0245079,0.0246191,0.0256134,0.025649,0.0268899,0.0272629
3390,0.027455,0.0277964,0.0285393,0.0287261,0.0290161,0.0292326
3400,0.025063,0.0252167,0.0271871,0.0275675,0.0279105,0.0280953
3410,0.0255392,0.0255665,0.0268945,0.0271656,0.0283652,0.0285328
3420,0.0230731,0.0230847,0.0251354,0.0252019,0.0260116,0.0261401
3430,0.0240681,0.0242324,0.0260309,0.0260901,0.0268666,0.0270231
3440,0.0238882,0.0239161,0.0258772,0.0259098,0.0264664,0.0267439
3450,0.021309,0.0214436,0.0227536,0.0228424,0.0241268,0.0244218
3460,0.0237214,0.0239458,0.02558,0.0256001,0.0256162,0.0256969
3470,0.0246417,0.0248465,0.0249999,0.0253598,0.0270138,0.0272192
3480,0.0252201,0.0254217,0.0272672,0.0275395,0.0277925,0.0279656
3490,0.0267974,0.0268251,0.0278034,0.0278593,0.0280218,0.0282519
3500,0.0280931,0.0282079,0.0292306,0.0292527,0.0293192,0.029433
