t,e^(-dS)
1811,1.69605
1812,1.30161
1813,1.24757
1814,0.926455
1815,1.2507
1816,1.20937
1817,0.608779
1818,0.687495
1819,0.978074
1820,0.719211
1821,0.956772
1822,1.20527
1823,1.39598
1824,0.749012
1825,1.25671
1826,1.02945
1827,0.807671
1828,1.47728
1829,1.13712
1830,0.569043
1831,0.758358
1832,0.534192
1833,0.541398
1834,1.30839
1835,0.956342
1836,0.867708
1837,1.10716
1838,1.22937
1839,1.06598
1840,1.11751
1841,1.23467
1842,0.813345
1843,0.965065
1844,0.875903
1845,1.24421
1846,1.19244
1847,0.943131
1848,1.06726
1849,0.757524
1850,1.61591
1851,0.44749
1852,0.612443
1853,1.76579
1854,2.0974
1855,0.71113
1856,1.17586
1857,1.49257
1858,1.17187
1859,0.951915
1860,0.610425
1861,0.541398
1862,1.84301
1863,0.709709
1864,1.01637
1865,0.785135
1866,0.601397
1867,0.874503
1868,0.694127
