t,deltaS
1490,-0.03689
1491,0.07712
1492,-0.06356
1493,-0.06539
1494,0.01037
1495,-0.2079
1496,0.04787
1497,-0.1947
1498,0.07558
1499,0.002831
1500,-0.08371
1501,0.08713
1502,-0.2546
1503,-0.1042
1504,0.06379
1505,-0.0605
1506,0.02745
1507,-0.1373
1508,-0.06145
1509,-0.1237
1510,-0.03279
1511,-0.09491
1512,0.149
1513,-0.1112
1514,0.2203
1515,-0.1854
1516,0.182
1517,0.03316
1518,0.05853
1519,0.01685
1520,-0.0859
1521,-0.0008187
1522,-0.1557
1523,0.02294
1524,0.08832
1525,-0.01643
1526,-0.01419
1527,-0.2494
1528,-0.09958
1529,0.09122
1530,-0.1028
1531,-0.04444
1532,0.2131
1533,-0.07027
1534,0.1662
1535,-0.09127
1536,0.07965
1537,-0.1584
1538,-0.1841
1539,0.177
1540,-0.01443
1541,0.04584
1542,-0.1557
1543,0.01799
1544,0.1407
1545,-0.06938
1546,0.02571
1547,0.08594
1548,-0.03882
1549,0.1133
1550,0.00518
1551,-0.03008
1552,-0.18
1553,0.1685
1554,-0.243
1555,0.1411
1556,0.004186
1557,-0.05396
1558,0.06329
1559,0.0363
1560,-0.05754
1561,0.02284
1562,-0.06656
1563,0.01481
1564,0.115
1565,-0.02083
1566,-0.05174
1567,0.09044
1568,-0.08922
1569,-0.08086
1570,0.003919
1571,-0.04642
1572,0.009742
1573,-0.03351
1574,-0.02937
1575,0.03532
1576,-0.1437
1577,0.1203
1578,0.09615
1579,0.07384
1580,-0.01787
1581,-0.03477
1582,0.07299
1583,-0.02387
1584,-0.01005
1585,0.001934
1586,0.1075
1587,-0.02438
1588,-0.03301
1589,-0.05928
1590,-0.1182
1591,-0.03566
1592,-0.06405
1593,0.0651
1594,-0.02706
1595,0.03741
1596,-0.0618
1597,0.09814
1598,0.0213
1599,-0.2098
1600,-0.0003782
1601,0.1069
1602,-0.006337
1603,-0.1164
1604,-0.2018
1605,-0.01833
1606,0.09539
1607,0.07973
1608,-0.09166
1609,0.01523
1610,-0.1342
1611,-0.01495
1612,0.0291
1613,-0.1117
1614,0.03191
1615,0.05621
1616,0.06978
1617,-0.1431
1618,0.01882
1619,0.01151
1620,-0.05115
1621,-0.05073
1622,0.1896
1623,0.1167
1624,-0.07884
1625,-0.005762
1626,-0.005463
1627,0.06351
1628,0.03286
1629,0.04833
1630,-0.1249
1631,0.02007
1632,0.01933
1633,0.06047
1634,0.1445
1635,-0.128
1636,0.16
1637,-0.1807
1638,0.1288
1639,0.1895
1640,-0.2274
1641,0.1766
1642,0.06781
1643,0.01822
1644,-0.008148
1645,-0.02781
1646,0.01946
1647,0.03773
1648,0.03759
1649,0.1669
1650,0.05063
1651,-0.251
1652,-0.2046
1653,0.03598
1654,-0.08058
1655,0.06667
1656,-0.05073
1657,-0.06403
1658,-0.05428
1659,0.01832
1660,-0.03528
