t,cg_iters
2301,8229
2302,8262
2303,8292
2304,8259
2305,8270
2306,8108
2307,8072
2308,8005
2309,7868
2310,7918
2311,8020
2312,7997
2313,8199
2314,7909
2315,8015
2316,8007
2317,7824
2318,8137
2319,7879
2320,7965
2321,8060
2322,8171
2323,7982
2324,8075
2325,8265
2326,8281
2327,8130
2328,8242
2329,8202
2330,8239
2331,8083
2332,8093
2333,7923
2334,8249
2335,8150
2336,7912
2337,8011
2338,8100
2339,8108
2340,8059
2341,8074
2342,8198
2343,8068
2344,8034
2345,7996
2346,7895
2347,8093
2348,8067
2349,8302
2350,8051
2351,8077
2352,8070
2353,8193
2354,8158
2355,8172
2356,8229
2357,8218
2358,7917
2359,7727
2360,7999
2361,7800
2362,8014
2363,7934
2364,8011
2365,8111
2366,8103
2367,8044
2368,7813
2369,8213
2370,8117
2371,8400
2372,8047
2373,8038
2374,7985
2375,8071
2376,7981
2377,8030
2378,7950
2379,8022
2380,7796
2381,7837
2382,8005
2383,7816
2384,7964
2385,7932
2386,7947
2387,8215
2388,8063
2389,8317
2390,8234
2391,8101
2392,8155
2393,8184
2394,7900
2395,8139
2396,8048
2397,8021
2398,7969
2399,7803
2400,8150
2401,8161
2402,8067
2403,8012
2404,8089
2405,7917
2406,7904
2407,8253
2408,8176
2409,8123
2410,8151
2411,8080
2412,8139
2413,8134
2414,8074
2415,8212
2416,8057
2417,8309
2418,8156
2419,8120
2420,8147
2421,8143
2422,8235
2423,8053
2424,8156
2425,7752
2426,7837
2427,7774
2428,7944
2429,8142
2430,8100
2431,8012
2432,8011
2433,7929
2434,8004
2435,8041
2436,8174
2437,7976
2438,8174
2439,8194
2440,8061
2441,8075
2442,8126
2443,8056
2444,8038
2445,8147
2446,8479
2447,8044
2448,7997
2449,8046
2450,8298
2451,7963
2452,8053
2453,8089
2454,8427
2455,8070
2456,8390
2457,8202
2458,8422
2459,8139
2460,8142
2461,8317
2462,8239
2463,8275
2464,8171
2465,8329
2466,8362
2467,8114
2468,8178
2469,8168
2470,8241
2471,8019
2472,8031
2473,8137
2474,8049
2475,8082
2476,8184
2477,8074
2478,7905
2479,8268
2480,8083
2481,8120
2482,8074
2483,7864
2484,8197
2485,8197
2486,8027
2487,8334
2488,7969
2489,8002
2490,7958
2491,8038
